product_id,sku,name,category,description,handle,status,base_price,price_usd,primary_image,total_variants,stripe_status,created_at,updated_date,gallery_urls,gallery_count,image_status,meta_title,meta_description,search_keywords,tags,gallery_all_images,all_images,name_key_norm,created_at_dt
d95d8861-2c27-4c5e-82c0-0e7ac9486323,VST-0025,Aqua Vest & Tie Set,Vest & Tie Sets,"Premium vest and tie set - Perfect for weddings, proms, and formal events",aqua-vest-and-tie-set,active,6500,$65.00,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/tie_clean_batch_03/vest-and-tie_aqua-vest-and-tie-set_1.0.jpg,10,Ready,2025-08-13T00:00:00.000Z,2025-08-13,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/tie_clean_batch_03/vest-and-tie_aqua-vest-and-tie-set_1.0.jpg,1,Gallery (Populated),Aqua Vest And Tie Set | KCT Menswear,Shop aqua vest and tie set from KCT Menswear. Fast shipping. Quality tailoring.,"aqua vest and tie set, vest & tie sets, kct menswear, mens suits, wedding suits","vest-tie-set, premium, summer, bundle",https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/tie_clean_batch_03/vest-and-tie_aqua-vest-and-tie-set_1.0.jpg,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/tie_clean_batch_03/vest-and-tie_aqua-vest-and-tie-set_1.0.jpg,aqua vest and tie set,2025-08-13 00:00:00+00:00
0968e54c-51bd-4d26-afb9-97ccb60bfa51,VST-0027,Baby Blue Vest Tie Set,Vest & Tie Sets,"Premium vest and tie set - Perfect for weddings, proms, and formal events",baby-blue-vest-tie-set,active,6500,$65.00,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/tie_clean_batch_02/vest-tie_baby-blue-vest-and-tie-set_1.0.jpg,10,Ready,2025-08-13T00:00:00.000Z,2025-08-13,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/tie_clean_batch_02/vest-tie_baby-blue-vest-and-tie-set_1.0.jpg,1,Gallery (Populated),Baby Blue Vest Tie Set | KCT Menswear,Shop baby blue vest tie set from KCT Menswear. Fast shipping. Quality tailoring.,"baby blue vest tie set, vest & tie sets, kct menswear, mens suits, wedding suits","blue, vest-tie-set, premium, summer, bundle",https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/tie_clean_batch_02/vest-tie_baby-blue-vest-and-tie-set_1.0.jpg,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/tie_clean_batch_02/vest-tie_baby-blue-vest-and-tie-set_1.0.jpg,baby blue vest tie set,2025-08-13 00:00:00+00:00
7bc81f25-1a81-4e8a-848b-968c2c5ce7d7,VST-0032,Beige Vest Tie Set,Vest & Tie Sets,"Premium vest and tie set - Perfect for weddings, proms, and formal events",beige-vest-tie-set,active,6500,$65.00,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/vest-tie_beige-vest-and-tie-set_1.0.jpg,10,Ready,2025-08-13T00:00:00.000Z,2025-08-13,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/vest-tie_beige-vest-and-tie-set_1.0.jpg,1,Gallery (Populated),Beige Vest Tie Set | KCT Menswear,Shop beige vest tie set from KCT Menswear. Fast shipping. Quality tailoring.,"beige vest tie set, vest & tie sets, kct menswear, mens suits, wedding suits","vest-tie-set, premium, summer, bundle",https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/vest-tie_beige-vest-and-tie-set_1.0.jpg,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/vest-tie_beige-vest-and-tie-set_1.0.jpg,beige vest tie set,2025-08-13 00:00:00+00:00
754192d7-e19e-475b-9b64-0463d31c4cad,TUX-019,Black & White Classic Tuxedo,Tuxedos,Premium Classic tuxedo - Luxury formal wear for special occasions,black-and-white-classic-tuxedo,active,31500,$315.00,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/batch_2/nan_black-and-white-tuxedo_2.0.jpg,21,Ready,2025-08-13T00:00:00.000Z,2025-08-13,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/batch_2/nan_black-and-white-tuxedo_2.0.jpg,1,Gallery (Populated),Black And White Classic Tuxedo | KCT Menswear,Shop black and white classic tuxedo from KCT Menswear. Fast shipping. Quality tailoring.,"black and white classic tuxedo, tuxedos, kct menswear, mens suits, wedding suits","black, white, tuxedo, formal, business, premium, summer",https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/batch_2/nan_black-and-white-tuxedo_2.0.jpg,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/batch_2/nan_black-and-white-tuxedo_2.0.jpg,black and white classic tuxedo,2025-08-13 00:00:00+00:00
7affb342-0e29-49b4-b82f-e908e6b60e47,SHOE-001,Black Chelsea Boots,Shoes,Premium dress shoes for formal events,black-chelsea-boots,active,16500,$165.00,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/boots_black-chelsea-boots_1.0.jpg,11,Ready,2025-08-12T00:00:00.000Z,2025-08-13,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/boots_black-chelsea-boots_1.0.jpg,1,Gallery (Populated),Black Chelsea Boots | KCT Menswear,Shop black chelsea boots from KCT Menswear. Fast shipping. Quality tailoring.,"black chelsea boots, shoes, kct menswear, mens suits, wedding suits","black, premium, summer",https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/boots_black-chelsea-boots_1.0.jpg,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/boots_black-chelsea-boots_1.0.jpg,black chelsea boots,2025-08-12 00:00:00+00:00
ccdf7fe2-c0f9-4d4c-ad86-256a2c251ed6,TUX-017,Black Double Breasted Prom Tuxedo Satin Lapel,Tuxedos,Premium Prom tuxedo - Luxury formal wear for special occasions,black-double-breasted-prom-tuxedo-satin-lapel,active,32500,$325.00,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/batch_2/nan_black-double-breasted-prom-tuxedo-satin-lapel_2.0.jpg,21,Ready,2025-08-13T00:00:00.000Z,2025-08-13,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/batch_2/nan_black-double-breasted-prom-tuxedo-satin-lapel_2.0.jpg,1,Gallery (Populated),Black Double Breasted Prom Tuxedo Satin Lapel | KCT Menswear,Shop black double breasted prom tuxedo satin lapel from KCT Menswear. Fast shipping. Quality tailoring.,"black double breasted prom tuxedo satin lapel, tuxedos, kct menswear, mens suits, wedding suits","black, tuxedo, prom, formal, business, satin, premium, summer",https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/batch_2/nan_black-double-breasted-prom-tuxedo-satin-lapel_2.0.jpg,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/batch_2/nan_black-double-breasted-prom-tuxedo-satin-lapel_2.0.jpg,black double breasted prom tuxedo satin lapel,2025-08-13 00:00:00+00:00
42b78bd2-a60d-47d4-9a9b-6bc2db312544,TUX-006,Black Double Breasted Tuxedo With Satin Peak Lapel,Tuxedos,"Premium slim fit tuxedo with satin Peak lapel - Perfect for weddings, proms, and black-tie events",black-double-breasted-tuxedo-with-satin-peak-lapel,active,36500,$365.00,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/batch_4/mens-tuxedos_mens-slim-fit-black-double-breasted-tuxedo-with-satin-peak-lapel_1.0.jpg,21,Ready,2025-08-13T00:00:00.000Z,2025-08-13,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/batch_4/mens-tuxedos_mens-slim-fit-black-double-breasted-tuxedo-with-satin-peak-lapel_1.0.jpg,1,Gallery (Populated),Black Double Breasted Tuxedo With Satin Peak Lapel | KCT Menswear,Shop black double breasted tuxedo with satin peak lapel from KCT Menswear. Fast shipping. Quality tailoring.,"black double breasted tuxedo with satin peak lapel, tuxedos, kct menswear, mens suits, wedding suits","black, tuxedo, formal, business, satin, premium, summer",https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/batch_4/mens-tuxedos_mens-slim-fit-black-double-breasted-tuxedo-with-satin-peak-lapel_1.0.jpg,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/batch_4/mens-tuxedos_mens-slim-fit-black-double-breasted-tuxedo-with-satin-peak-lapel_1.0.jpg,black double breasted tuxedo with satin peak lapel,2025-08-13 00:00:00+00:00
e0dc72ea-cf03-44f0-8bbe-2da538123957,KID-SUIT-002,Black Kids Suit,Kids Formal Wear,Premium kids suit for special occasions and formal events,black-kids-suit,active,12500,$125.00,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/batch_4/kid-suit_black-kids-suit_1.0.jpg,11,Ready,2025-08-13T00:00:00.000Z,2025-08-13,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/batch_4/kid-suit_black-kids-suit_1.0.jpg,1,Gallery (Populated),Black Kids Suit | KCT Menswear,Shop black kids suit from KCT Menswear. Fast shipping. Quality tailoring.,"black kids suit, kids formal wear, kct menswear, mens suits, wedding suits","black, formal, premium, summer",https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/batch_4/kid-suit_black-kids-suit_1.0.jpg,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/batch_4/kid-suit_black-kids-suit_1.0.jpg,black kids suit,2025-08-13 00:00:00+00:00
709a11ab-de0f-4fe8-a6ee-903892a5372b,TUX-016,Black Paisley Three Piece Tuxedo With Velvet Lapel,Tuxedos,"Premium slim fit tuxedo with satin Velvet lapel - Perfect for weddings, proms, and black-tie events",black-paisley-three-piece-tuxedo-with-velvet-lapel,active,45500,$455.00,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/nan_elegant-black-paisley-three-piece-tuxedo-with-velvet-lapel-a-modern-classic-for-2024-prom-and-wedding-seasons_2.0.webp,21,Ready,2025-08-13T00:00:00.000Z,2025-08-13,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/nan_elegant-black-paisley-three-piece-tuxedo-with-velvet-lapel-a-modern-classic-for-2024-prom-and-wedding-seasons_2.0.webp,1,Gallery (Populated),Black Paisley Three Piece Tuxedo With Velvet Lapel | KCT Menswear,Shop black paisley three piece tuxedo with velvet lapel from KCT Menswear. Fast shipping. Quality tailoring.,"black paisley three piece tuxedo with velvet lapel, tuxedos, kct menswear, mens suits, wedding suits","black, tuxedo, formal, business, velvet, satin, premium, summer",https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/nan_elegant-black-paisley-three-piece-tuxedo-with-velvet-lapel-a-modern-classic-for-2024-prom-and-wedding-seasons_2.0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/nan_elegant-black-paisley-three-piece-tuxedo-with-velvet-lapel-a-modern-classic-for-2024-prom-and-wedding-seasons_2.0.webp,black paisley three piece tuxedo with velvet lapel,2025-08-13 00:00:00+00:00
0386398a-2aeb-4a3e-a98d-fa06dc7949a1,SVB-BLACK-B,Black Sparkle Vest & Bowtie Set,Accessories,"Dazzling black sparkle vest, bowtie, and hanky set that commands attention at any formal event. This premium glitter ensemble features shimmering sequins and luxurious materials, perfect for proms, ga",black-sparkle-vest-bowtie-set,active,5999,$59.99,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/main-suspender-bowtie-set/black-model.png,5,Ready,2025-08-04T00:00:00.000Z,2025-08-13,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/main-suspender-bowtie-set/black-model.png,1,Gallery (Populated),Black Sparkle Vest & Bowtie Set | KCT Menswear,Shop black sparkle vest & bowtie set from KCT Menswear. Fast shipping. Quality tailoring.,"black sparkle vest & bowtie set, accessories, kct menswear, mens suits, wedding suits","black, premium, summer, bundle",https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/main-suspender-bowtie-set/black-model.png,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/main-suspender-bowtie-set/black-model.png,black sparkle vest and bowtie set,2025-08-04 00:00:00+00:00
0d3f01af-a94d-4517-848f-65413ba65a53,SB-BLACK-SET,Black Suspender & Bowtie Set,Accessories,"Classic black suspender and bowtie combination perfect for formal events, vintage-themed occasions, and stylish gatherings. Features adjustable elastic suspenders with durable clips and a matching pre",black-suspender-bowtie-set,active,4999,$49.99,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/main-suspender-bowtie-set/black-model.png,6,Ready,2025-08-04T00:00:00.000Z,2025-08-13,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/main-suspender-bowtie-set/black-model.png,1,Gallery (Populated),Black Suspender & Bowtie Set | KCT Menswear,Shop black suspender & bowtie set from KCT Menswear. Fast shipping. Quality tailoring.,"black suspender & bowtie set, accessories, kct menswear, mens suits, wedding suits","black, summer, bundle",https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/main-suspender-bowtie-set/black-model.png,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/main-suspender-bowtie-set/black-model.png,black suspender and bowtie set,2025-08-04 00:00:00+00:00
7583d28a-d0d6-4342-b085-cab904a71556,ACC-001,Black Suspender Bow Tie Set,Accessories,Premium accessories for formal occasions,black-suspender-bow-tie-set,active,0,$,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/main-suspender-bowtie-set/black-model.png,0,Missing,2025-08-12T00:00:00.000Z,2025-08-13,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/main-suspender-bowtie-set/black-model.png,1,Gallery (Populated),Black Suspender Bow Tie Set | KCT Menswear,Shop black suspender bow tie set from KCT Menswear. Fast shipping. Quality tailoring.,"black suspender bow tie set, accessories, kct menswear, mens suits, wedding suits","black, premium, summer, bundle",https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/main-suspender-bowtie-set/black-model.png,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/main-suspender-bowtie-set/black-model.png,black suspender bow tie set,2025-08-12 00:00:00+00:00
ff260f9f-ee70-417c-a368-b809b159f2ac,TUX-004,Black Three Piece Tuxedo With Satin Shawl Lapel,Tuxedos,"Premium slim fit tuxedo with satin Shawl lapel - Perfect for weddings, proms, and black-tie events",black-three-piece-tuxedo-with-satin-shawl-lapel,active,38500,$385.00,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/batch_3/mens-tuxedos_mens-classic-black-three-piece-tuxedo-with-satin-shawl-lapel_1.0.png,21,Ready,2025-08-13T00:00:00.000Z,2025-08-13,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/batch_3/mens-tuxedos_mens-classic-black-three-piece-tuxedo-with-satin-shawl-lapel_1.0.png,1,Gallery (Populated),Black Three Piece Tuxedo With Satin Shawl Lapel | KCT Menswear,Shop black three piece tuxedo with satin shawl lapel from KCT Menswear. Fast shipping. Quality tailoring.,"black three piece tuxedo with satin shawl lapel, tuxedos, kct menswear, mens suits, wedding suits","black, tuxedo, formal, business, satin, premium, summer",https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/batch_3/mens-tuxedos_mens-classic-black-three-piece-tuxedo-with-satin-shawl-lapel_1.0.png,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/batch_3/mens-tuxedos_mens-classic-black-three-piece-tuxedo-with-satin-shawl-lapel_1.0.png,black three piece tuxedo with satin shawl lapel,2025-08-13 00:00:00+00:00
d6a2d07c-823b-4fd0-90e5-dd7670b8e754,VEST-003,Blue Carolina Vest & Tie Set,Vest & Tie Sets,Premium vest and tie set for formal occasions,blue-carolina-vest-and-tie-set,active,6500,$65.00,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_carolina-blue-vest-and-tie-set_1.0.jpg,8,Ready,2025-08-12T00:00:00.000Z,2025-08-13,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_carolina-blue-vest-and-tie-set_1.0.jpg,1,Gallery (Populated),Blue Carolina Vest And Tie Set | KCT Menswear,Shop blue carolina vest and tie set from KCT Menswear. Fast shipping. Quality tailoring.,"blue carolina vest and tie set, vest & tie sets, kct menswear, mens suits, wedding suits","blue, vest-tie-set, premium, summer, bundle",https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_carolina-blue-vest-and-tie-set_1.0.jpg,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_carolina-blue-vest-and-tie-set_1.0.jpg,blue carolina vest and tie set,2025-08-12 00:00:00+00:00
fa2f80cb-d095-44fd-8777-422c37cb5327,VST-0009,Blue French Vest & Tie Set,Vest & Tie Sets,"Premium vest and tie set - Perfect for weddings, proms, and formal events",blue-french-vest-and-tie-set,active,6500,$65.00,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_french-blue-vest-and-tie-set_1.0.jpg,10,Ready,2025-08-13T00:00:00.000Z,2025-08-13,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_french-blue-vest-and-tie-set_1.0.jpg,1,Gallery (Populated),Blue French Vest And Tie Set | KCT Menswear,Shop blue french vest and tie set from KCT Menswear. Fast shipping. Quality tailoring.,"blue french vest and tie set, vest & tie sets, kct menswear, mens suits, wedding suits","blue, vest-tie-set, premium, summer, bundle",https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_french-blue-vest-and-tie-set_1.0.jpg,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_french-blue-vest-and-tie-set_1.0.jpg,blue french vest and tie set,2025-08-13 00:00:00+00:00
554be880-23ea-4deb-a3a2-74a506dcfc1b,SUS-0002,Blue Light Suspender Bow Tie Set,Accessories,Premium suspender and bow tie set for formal occasions,blue-light-suspender-bow-tie-set,active,0,$,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/tie_clean_batch_04/nan_light-blue-suspender-bow-tie-set_1.0.jpg,0,Missing,2025-08-13T00:00:00.000Z,2025-08-13,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/tie_clean_batch_04/nan_light-blue-suspender-bow-tie-set_1.0.jpg,1,Gallery (Populated),Blue Light Suspender Bow Tie Set | KCT Menswear,Shop blue light suspender bow tie set from KCT Menswear. Fast shipping. Quality tailoring.,"blue light suspender bow tie set, accessories, kct menswear, mens suits, wedding suits","blue, premium, summer, bundle",https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/tie_clean_batch_04/nan_light-blue-suspender-bow-tie-set_1.0.jpg,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/tie_clean_batch_04/nan_light-blue-suspender-bow-tie-set_1.0.jpg,blue light suspender bow tie set,2025-08-13 00:00:00+00:00
19c42efe-b968-4cc5-901c-c9f9993e0467,VST-0019,Blue Powder Vest & Tie Set,Vest & Tie Sets,"Premium vest and tie set - Perfect for weddings, proms, and formal events",blue-powder-vest-and-tie-set,active,6500,$65.00,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/tie_clean_batch_04/nan_powder-blue-vest-and-tie-set_1.0.jpg,10,Ready,2025-08-13T00:00:00.000Z,2025-08-13,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/tie_clean_batch_04/nan_powder-blue-vest-and-tie-set_1.0.jpg,1,Gallery (Populated),Blue Powder Vest And Tie Set | KCT Menswear,Shop blue powder vest and tie set from KCT Menswear. Fast shipping. Quality tailoring.,"blue powder vest and tie set, vest & tie sets, kct menswear, mens suits, wedding suits","blue, vest-tie-set, premium, summer, bundle",https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/tie_clean_batch_04/nan_powder-blue-vest-and-tie-set_1.0.jpg,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/tie_clean_batch_04/nan_powder-blue-vest-and-tie-set_1.0.jpg,blue powder vest and tie set,2025-08-13 00:00:00+00:00
